question_topic_name,question_grade,question_term,question_unit,question_type1,question_type2,question_filename,question_dataset,question_text
지름의 성질 알아보기,P3,2,03,2,1,P3_2_03_00043_53465.png,1,지름이 $12 cm$인 원을 그리려면 컴퍼스를 몇 $cm$가 되도록 벌려야 합니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_28234.png,1,$\square$ 안에 알맞은 각도를 써넣으시오. $(1) 85°+\square=115°$ $(2) \square‒75°=80°$
원의 반지름과 지름 알아보기,P3,2,03,2,0,P3_2_03_00043_53315.png,1,원에는 중심이 몇 개 있습니까?
예각삼각형 알아보기,P4,2,02,2,0,P4_2_02_00042_28326.png,1,예각삼각형에는 예각이 몇 개 있습니까?
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_34718.png,1,"철사를 사용하여 가로가 $10cm$, 세로가 $8cm$인 직사각형을 만들었습니다. 이 철사를 펴서 다시 가장 큰 정사각형 $1$개를 만들 때, 이 정사각형의 한 변의 길이는 몇 $cm$입니까?"
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_28015.png,1,각도의 계산을 하시오. (1) $72^{\circ}+98^{\circ}$ (2) $107^{\circ}-16^{\circ}$
원 그리기,P3,2,03,2,1,P3_2_03_00042_53260.png,1,반지름이 $8$cm인 원을 그리려고 합니다. 컴퍼스의 침과 연필심 사이를 몇 $cm$ 벌려야 합니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00043_37308.png,1,"각의 크기를 비교하여 $\bigcirc$ 안에 $>, = , <$를 알맞게 써넣으시오. $155^{\circ}-30^{\circ} \bigcirc 85^{\circ}+45^{\circ}$"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25651.png,1,"정호와 근희는 각각 길이가 $28$ cm인 끈을 가지고 있습니다. 끈을 남김없이 모두 사용하여 정호는 가로가 $10$ cm인 직사각형을 만들고, 근희는 정사각형을 만들었습니다. 두 사람이 만든 사각형의 세로의 길이의 합은 몇 cm입니까?"
마름모의 성질 알아보기,P4,2,04,2,1,P4_2_04_00043_54179.png,1,길이가 $ 96 $ cm인 철사를 모두 사용하여 마름모를 한 개 만들었습니다. 만들어진 마름모의 한 변은 몇 cm입니까?
두 각도의 합 구하기,P4,1,02,2,1,P4_1_02_00042_28230.png,1,각도의 합을 계산하시오. (1) $ 75^{\circ}+68^{\circ} $ (2) $ 135^{\circ}+59^{\circ} $ (3) $ 90^{\circ}+50^{\circ} $ (4) $ 95^{\circ}+180^{\circ} $
예각과 둔각 알아보기,P4,1,02,2,1,P4_1_02_00042_83933.png,1,"은주는 3시 25분에 수영을 시작하여 1시간 20분 동안 했습니다. 은주가 수영을 마친 시각을 시계에 나타낼 때, 시침과 분침이 이루는 작은 쪽의 각은 예각입니까, 둔각입니까?"
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_27485.png,1,$\square$ 안에 알맞은 각도를 써넣으시오.  $ 90^{\circ}+\square=245^{\circ} $
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_34728.png,1,한 변의 길이가 $63cm$인 정사각형 모양의 종이를 잘라 한 변의 길이가 $9cm$인 정사각형을 만들려고 합니다. 모두 몇 개까지 만들 수 있습니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_31082.png,1,"계산 결과가 예각인 경우에는 ‘예’, 둔각인 경우에는 ‘둔’이라고 쓰시오. (1) $ 90^{\circ}+15^{\circ} $ (2) $ 25^{\circ}+66^{\circ} $ (3) $ 180^{\circ}-95^{\circ} $"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25469.png,1,네 변의 길이의 합이 $ 28 \mathrm{~cm} $ 인 정사각형의 한 변의 길이는 몇 $ \mathrm{cm} $ 입니까?
삼각형을 각의 크기에 따라 분류하기,P4,2,02,2,1,P4_2_02_00042_29755.png,1,"삼각형의 세 각 중 두 각의 크기가 다음과 같을 때, 각 삼각형은 예각삼각형과 둔각삼각형 중에서 어떤 삼각형인지 쓰시오. (1) $50\degree,60\degree$ (2) $35\degree,40\degree$"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25580.png,1,한 변의 길이가 $ 16 \mathrm{~m} $인 정사각형 모양의 공원이 있습니다. 유란이가 이 공원의 둘레를 한 바퀴 걸었다면 유란이는 모두 몇 $ \mathrm{m} $를 걸었습니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00043_37268.png,1,두 각도의 합과 차를 구하시오. (1) $135^{\circ}+80^{\circ}$ (2) $140^{\circ}-65^{\circ}$
직각 알아보기,P3,1,02,2,1,P3_1_02_00043_34650.png,1,지금 시각은 $1$시 정각입니다. 은우는 앞으로 $4$시간 동안 아르바이트를 하는데 시계의 긴 바늘과 짧은 바늘이 직각을 이루는 때에만 $5$분씩 쉴 수 있습니다. 은우는 모두 몇 분을 쉴 수 있습니까?
지름의 성질 알아보기,P3,2,03,2,1,P3_2_03_00043_53642.png,1,컴퍼스를 사용하여 지름이 $12 cm$인 원을 그리려고 합니다. 컴퍼스를 몇 $cm$만큼 벌려야 합니까?
예각과 둔각 알아보기,P4,1,02,2,1,P4_1_02_00042_30338.png,1,"다음과 같은 각도를 예각, 둔각으로 구분하여 보시오. (1) $45^{\circ}$ (2) $145^{\circ}$"
직사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_00059.png,1,네 변의 길이의 합이 $ 24 \mathrm{~cm} $ 인 직사각형이 있습니다. 이 직사각형의 긴 변이 $ 9 \mathrm{~cm} $ 라면 짦은 변은 몇 $\mathrm{cm}$입니까?
원 그리기,P3,2,03,2,1,P3_2_03_00042_88223.png,1,컴퍼스의 침과 연필심 사이를 $7cm$로 해서 원을 그리면 원의 반지름의 길이는 몇 $cm$가 됩니까?
삼각형을 각의 크기에 따라 분류하기,P4,2,02,2,1,P4_2_02_00042_84333.png,1,"두 각의 크기가 다음과 같은 삼각형은 예각삼각형인지, 둔각삼각형인지 쓰시오.(1) 75°, 40°(2) 45°, 35°"
원의 반지름과 지름 알아보기,P3,2,03,2,0,P3_2_03_00043_53305.png,1,한 원에는 원의 중심이 몇 개 있습니까?
